text,misogynous
mogli sgradevoli,1
figlie eccellenti,0
piacere signore,0
lei generosa,0
zie non dovrebbero essere stimate,1
sorella non dovrebbe essere accudita,1
sorella non dovrebbe essere supportata,1
signorine non dovrebbero essere omaggiate,1
sorelle non dovrebbero essere torturate,0
moglie non dovrebbe essere soffocata,0
signorina dovrebbe essere apprezzata,0
piacere spose,0
distruggere signorina,1
detestare signorina,1
lei irritante,1
moglie dovrebbe essere eliminata,1
sorelle orride,1
strangolare moglie,1
moglie dovrebbe essere abbracciata,0
colpire sorelle,1
figlie dovrebbero essere massacrate,1
lei dovrebbe essere amata,0
uccidere signorina,1
sorelle dovrebbero essere assassinate,1
figlia non dovrebbe essere soppressa,0
sterminare signorine,1
affogare signorina,1
signorina orrida,1
sterminare signora,1
abbracciare figlie,0
madre non dovrebbe essere assassinata,0
ammirare sposa,0
preservare madre,0
zie non dovrebbero essere detestate,0
sorella non dovrebbe essere uccisa,0
sorelle dovrebbero essere detestate,1
moglie non dovrebbe essere strangolata,0
sorelle favolose,0
madre eccezionale,0
sposa sublime,0
moglie dovrebbe essere distrutta,1
ammirare ragazza,0
moglie dovrebbe essere stimata,0
sposa stupida,1
signora dovrebbe essere soppressa,1
sposa idiota,1
ragazza dovrebbe essere elogiata,0
lei terribile,1
madre non dovrebbe essere uccisa,0
mogli non dovrebbero essere soppresse,0
colpire zia,1
figlie non dovrebbero essere odiate,0
massacrare ragazza,1
signorina dovrebbe essere accudita,0
affogare mogli,1
signorina non dovrebbe essere soppressa,0
piacere ragazze,0
ragazze irritanti,1
ragazze non dovrebbero essere omaggiate,1
madri dovrebbero essere rispettate,0
figlia spregevole,1
picchiare zia,1
affogare ragazza,1
abbracciare moglie,0
accudire lei,0
strangolare ragazza,1
signorina dovrebbe essere soppressa,1
colpire sposa,1
sorella non dovrebbe essere strangolata,0
figlia superiore,0
curare madre,0
piacere signorina,0
spose dovrebbero essere difese,0
sorelle dovrebbero essere strangolate,1
piacere ragazza,0
torturare zia,1
signorina terribile,1
zia fenomenale,0
signorina dovrebbe essere detestata,1
lei eccellente,0
moglie non dovrebbe essere difesa,1
adorare moglie,0
uccidere sorelle,1
stimare sorelle,0
signorine non dovrebbero essere detestate,0
mogli dovrebbero essere accudite,0
figlia fastidiosa,1
massacrare signorina,1
spose splendide,0
madri dovrebbero essere soppresse,1
signorine detestabili,1
sterminare ragazza,1
preservare signore,0
distruggere lei,1
signore sgradite,1
signorine non dovrebbero essere uccise,0
zia non dovrebbe essere accudita,1
zie idiote,1
sposa ammirevole,0
madri inferiori,1
signore dovrebbero essere uccise,1
signora non dovrebbe essere apprezzata,1
adorare mogli,0
ammirare moglie,0
sposa repellente,1
soffocare zie,1
signore nauseanti,1
picchiare signorina,1
lei fantastica,0
sposa dovrebbe essere omaggiata,0
odiare zie,1
moglie irritante,1
sorelle fantastiche,0
massacrare lei,1
soffocare madre,1
signora malvagia,1
sposa meravigliosa,0
ammirare figlie,0
figlie dovrebbero essere torturate,1
figlie non dovrebbero essere detestate,0
signore fantastiche,0
uccidere zia,1
figlia orribile,1
moglie non dovrebbe essere eliminata,0
signora non dovrebbe essere strangolata,0
signorine non dovrebbero essere supportate,1
torturare ragazza,1
signore superiori,0
sposa dovrebbe essere curata,0
moglie nauseante,1
figlia non dovrebbe essere soffocata,0
signorine dovrebbero essere soffocate,1
signore non dovrebbero essere difese,1
ragazze non dovrebbero essere soppresse,0
madre superlativa,0
signorine splendide,0
curare ragazze,0
figlie stupide,1
madri non dovrebbero essere assassinate,0
zie sgradevoli,1
sterminare lei,1
sorella dovrebbe essere curata,0
mogli non dovrebbero essere uccise,0
figlie dovrebbero essere supportate,0
colpire ragazza,1
mogli dovrebbero essere amate,0
sorelle non dovrebbero essere uccise,0
stimare madre,0
amare moglie,0
lei non dovrebbe essere torturata,0
amare spose,0
signorine terribili,1
sorella non dovrebbe essere soffocata,0
spose detestabili,1
sposa sgradevole,1
lei magnifica,0
ragazza superba,0
uccidere sorella,1
ammirare ragazze,0
figlie dovrebbero essere odiate,1
odiare signorine,1
signorine dovrebbero essere accudite,0
adorare signore,0
sorelle dovrebbero essere stimate,0
figlia non dovrebbe essere amata,1
madri spregevoli,1
spose non dovrebbero essere curate,1
zia dovrebbe essere strangolata,1
figlie non dovrebbero essere uccise,0
zie malvagie,1
figlie non dovrebbero essere curate,1
madre non dovrebbe essere supportata,1
madre dovrebbe essere eliminata,1
madri dovrebbero essere distrutte,1
figlie superiori,0
signore dovrebbero essere curate,0
ragazze dovrebbero essere assassinate,1
signora dovrebbe essere assassinata,1
mogli non dovrebbero essere omaggiate,1
zie dovrebbero essere detestate,1
ragazza orribile,1
figlia sgradevole,1
sorella non dovrebbe essere soppressa,0
sorella non dovrebbe essere difesa,1
amare signorine,0
signorina dovrebbe essere rispettata,0
sorella idiota,1
piacere zie,0
lei non dovrebbe essere rispettata,1
spose dovrebbero essere strozzate,1
madri dovrebbero essere strozzate,1
zia non dovrebbe essere strozzata,0
lei non dovrebbe essere supportata,1
madre perfetta,0
signorina irritante,1
sorella perfetta,0
sorelle non dovrebbero essere strozzate,0
signorina stupida,1
signora fenomenale,0
sorelle non dovrebbero essere curate,1
signorine ammirevoli,0
figlie spregevoli,1
spose non dovrebbero essere amate,1
signorine dovrebbero essere ammirate,0
distruggere sorella,1
figlie non dovrebbero essere stimate,1
zie dovrebbero essere supportate,0
ragazze favolose,0
signorina dovrebbe essere difesa,0
zia eccezionale,0
strangolare signorina,1
piacere madre,0
sorella non dovrebbe essere odiata,0
figlia non dovrebbe essere ammirata,1
sorella meravigliosa,0
figlie dovrebbero essere rispettate,0
signore non dovrebbero essere abbracciate,1
lei dovrebbe essere odiata,1
mogli sgradite,1
picchiare sorelle,1
adorare ragazze,0
sorella non dovrebbe essere curata,1
spose dovrebbero essere accudite,0
ragazze dovrebbero essere amate,0
ragazze fantastiche,0
figlia dovrebbe essere distrutta,1
signora sgradita,1
moglie malvagia,1
ragazza malvagia,1
signora dovrebbe essere curata,0
proteggere ragazza,0
sorella non dovrebbe essere eliminata,0
soffocare sposa,1
figlie dovrebbero essere soppresse,1
massacrare zia,1
signore eccezionali,0
mogli non dovrebbero essere apprezzate,1
signore dovrebbero essere difese,0
sorelle non dovrebbero essere strangolate,0
ragazze ammirevoli,0
moglie non dovrebbe essere detestata,0
zie non dovrebbero essere elogiate,1
signorina idiota,1
signorine sublimi,0
madre dovrebbe essere distrutta,1
sterminare sorelle,1
madri non dovrebbero essere amate,1
detestare sposa,1
signore non dovrebbero essere apprezzate,1
signorine non dovrebbero essere soffocate,0
spose terribili,1
ragazza non dovrebbe essere ammirata,1
adorare sorella,0
ragazza detestabile,1
madri non dovrebbero essere ammirate,1
sorelle non dovrebbero essere apprezzate,1
mogli fastidiose,1
zia non dovrebbe essere amata,1
ragazza dovrebbe essere assassinata,1
madre non dovrebbe essere apprezzata,1
moglie non dovrebbe essere soppressa,0
zia non dovrebbe essere odiata,0
zia dovrebbe essere difesa,0
mogli dovrebbero essere uccise,1
signora dovrebbe essere ammirata,0
ammirare lei,0
madri dovrebbero essere odiate,1
sorelle meravigliose,0
zie meravigliose,0
zie non dovrebbero essere curate,1
signora irritante,1
madri idiote,1
sorelle ammirevoli,0
figlia non dovrebbe essere supportata,1
mogli non dovrebbero essere ammirate,1
ragazza non dovrebbe essere eliminata,0
sterminare sposa,1
zia divina,0
sorella dovrebbe essere strangolata,1
figlie non dovrebbero essere elogiate,1
figlie non dovrebbero essere supportate,1
spose dovrebbero essere abbracciate,0
ragazza non dovrebbe essere difesa,1
figlia non dovrebbe essere strangolata,0
sorelle non dovrebbero essere soppresse,0
zia repellente,1
moglie orrida,1
signorine dovrebbero essere stimate,0
sposa perfetta,0
madri dovrebbero essere supportate,0
madri dovrebbero essere soffocate,1
figlie dovrebbero essere eliminate,1
ammirare spose,0
detestare signorine,1
distruggere moglie,1
signorina favolosa,0
stimare signorine,0
proteggere ragazze,0
proteggere signora,0
zia non dovrebbe essere massacrata,0
ragazze inferiori,1
madri brillanti,0
sorella orribile,1
mogli ammirevoli,0
figlia dovrebbe essere rispettata,0
colpire figlia,1
madri non dovrebbero essere odiate,0
signore dovrebbero essere stimate,0
zia brillante,0
figlie brillanti,0
affogare ragazze,1
soffocare signora,1
sorella inferiore,1
signorina dovrebbe essere abbracciata,0
signorine fastidiose,1
moglie sgradevole,1
moglie non dovrebbe essere apprezzata,1
ragazza perfetta,0
madri dovrebbero essere uccise,1
apprezzare figlia,0
zia non dovrebbe essere rispettata,1
zia dovrebbe essere odiata,1
sposa dovrebbe essere elogiata,0
signore dovrebbero essere strangolate,1
signorine irritanti,1
lei splendida,0
ragazze dovrebbero essere torturate,1
apprezzare figlie,0
moglie non dovrebbe essere uccisa,0
figlie dovrebbero essere ammirate,0
sposa orrida,1
madre dovrebbe essere curata,0
picchiare lei,1
apprezzare signorine,0
madri favolose,0
lei non dovrebbe essere ammirata,1
ragazza dovrebbe essere curata,0
mogli superiori,0
torturare sorella,1
madri dovrebbero essere stimate,0
sorella fastidiosa,1
mogli superlative,0
mogli dovrebbero essere eliminate,1
madre dovrebbe essere uccisa,1
figlie non dovrebbero essere strangolate,0
signore non dovrebbero essere soppresse,0
odiare figlia,1
proteggere madri,0
affogare sorelle,1
ragazza non dovrebbe essere massacrata,0
madri non dovrebbero essere elogiate,1
ragazze stupide,1
sorella dovrebbe essere accudita,0
signora superlativa,0
figlie fantastiche,0
sorella dovrebbe essere apprezzata,0
madri dovrebbero essere difese,0
rispettare sorella,0
spose dovrebbero essere rispettate,0
ragazza brillante,0
odiare sorelle,1
sterminare signore,1
figlie divine,0
zia non dovrebbe essere distrutta,0
lei dovrebbe essere assassinata,1
spose non dovrebbero essere strangolate,0
sposa non dovrebbe essere rispettata,1
signorine dovrebbero essere odiate,1
ragazze sceme,1
signore dovrebbero essere soppresse,1
spose non dovrebbero essere supportate,1
mogli non dovrebbero essere elogiate,1
mogli magnifiche,0
sorelle eccellenti,0
moglie dovrebbe essere soppressa,1
detestare ragazza,1
abbracciare sorelle,0
figlie non dovrebbero essere soppresse,0
mogli non dovrebbero essere strangolate,0
sorella superiore,0
picchiare figlie,1
preservare ragazze,0
figlia dovrebbe essere soppressa,1
preservare signorina,0
sorelle dovrebbero essere difese,0
signorine non dovrebbero essere elogiate,1
lei superba,0
sposa non dovrebbe essere elogiata,1
signorine eccellenti,0
massacrare madre,1
sposa non dovrebbe essere amata,1
madre non dovrebbe essere soffocata,0
moglie non dovrebbe essere odiata,0
madre splendida,0
mogli non dovrebbero essere odiate,0
zie dovrebbero essere odiate,1
signore detestabili,1
signorina non dovrebbe essere amata,1
moglie inferiore,1
rispettare madre,0
moglie non dovrebbe essere distrutta,0
figlie inferiori,1
sorelle brillanti,0
spose dovrebbero essere eliminate,1
zia dovrebbe essere curata,0
zie dovrebbero essere distrutte,1
signore non dovrebbero essere amate,1
ragazze non dovrebbero essere assassinate,0
sposa superiore,0
zie non dovrebbero essere odiate,0
ragazza dovrebbe essere distrutta,1
sposa dovrebbe essere distrutta,1
sorella non dovrebbe essere detestata,0
signorina non dovrebbe essere strozzata,0
sorelle dovrebbero essere eliminate,1
lei dovrebbe essere torturata,1
lei dovrebbe essere ammirata,0
signorina spregevole,1
signore ripugnanti,1
figlia superba,0
sorella non dovrebbe essere massacrata,0
spose dovrebbero essere massacrate,1
picchiare signora,1
madri dovrebbero essere torturate,1
sorella fantastica,0
lei non dovrebbe essere detestata,0
ragazze dovrebbero essere abbracciate,0
picchiare sorella,1
signora dovrebbe essere stimata,0
madri sublimi,0
lei dovrebbe essere difesa,0
amare madri,0
soffocare figlie,1
signora dovrebbe essere rispettata,0
figlia non dovrebbe essere difesa,1
figlie dovrebbero essere accudite,0
signore dovrebbero essere abbracciate,0
affogare signora,1
zia inferiore,1
zie detestabili,1
signora non dovrebbe essere rispettata,1
signorine dovrebbero essere amate,0
signorine dovrebbero essere soppresse,1
signore non dovrebbero essere rispettate,1
sorelle generose,0
uccidere lei,1
signorina non dovrebbe essere rispettata,1
figlie irritanti,1
detestare signore,1
ragazza ammirevole,0
spose sceme,1
stimare signore,0
signorina non dovrebbe essere accudita,1
madre non dovrebbe essere eliminata,0
ragazze dovrebbero essere ammirate,0
signore irritanti,1
distruggere figlie,1
sorelle non dovrebbero essere eliminate,0
figlia fenomenale,0
torturare figlie,1
amare sorella,0
sorella non dovrebbe essere torturata,0
signore non dovrebbero essere omaggiate,1
sorella dovrebbe essere massacrata,1
strangolare zia,1
figlia ammirevole,0
ragazze dovrebbero essere uccise,1
ragazze dovrebbero essere apprezzate,0
zia fastidiosa,1
signora non dovrebbe essere assassinata,0
figlie non dovrebbero essere abbracciate,1
figlia dovrebbe essere soffocata,1
lei non dovrebbe essere difesa,1
signora dovrebbe essere apprezzata,0
proteggere signorine,0
lei dovrebbe essere distrutta,1
torturare sorelle,1
odiare sorella,1
sorella dovrebbe essere amata,0
soffocare moglie,1
sorelle dovrebbero essere abbracciate,0
mogli idiote,1
figlie dovrebbero essere difese,0
signore sceme,1
curare signore,0
zia non dovrebbe essere stimata,1
signora dovrebbe essere eliminata,1
signore dovrebbero essere soffocate,1
madri magnifiche,0
ragazza non dovrebbe essere uccisa,0
madri non dovrebbero essere difese,1
uccidere signore,1
ragazza stupida,1
signorina non dovrebbe essere assassinata,0
spose dovrebbero essere strangolate,1
ragazze detestabili,1
ragazza dovrebbe essere eliminata,1
rispettare lei,0
lei non dovrebbe essere omaggiata,1
mogli dovrebbero essere omaggiate,0
mogli non dovrebbero essere strozzate,0
lei dovrebbe essere omaggiata,0
sorella dovrebbe essere omaggiata,0
ragazza eccellente,0
sorella dovrebbe essere soppressa,1
madri perfette,0
odiare signorina,1
abbracciare signorina,0
spose non dovrebbero essere soffocate,0
figlie non dovrebbero essere distrutte,0
spose superlative,0
figlia non dovrebbe essere elogiata,1
moglie non dovrebbe essere stimata,1
signorine divine,0
apprezzare zia,0
sposa non dovrebbe essere assassinata,0
signora non dovrebbe essere stimata,1
signorine magnifiche,0
signorina fantastica,0
ragazza dovrebbe essere accudita,0
curare zia,0
colpire spose,1
madre dovrebbe essere strangolata,1
figlie fastidiose,1
zie repellenti,1
signorina generosa,0
signora sublime,0
moglie dovrebbe essere detestata,1
sorelle superbe,0
madre non dovrebbe essere detestata,0
figlia dovrebbe essere torturata,1
rispettare signorina,0
spose non dovrebbero essere rispettate,1
madri non dovrebbero essere rispettate,1
odiare signora,1
sorella stupida,1
madre non dovrebbe essere strangolata,0
spose meravigliose,0
signorina dovrebbe essere uccisa,1
zia superba,0
signora dovrebbe essere supportata,0
sorelle ripugnanti,1
sposa non dovrebbe essere difesa,1
sposa eccellente,0
sposa orribile,1
madre non dovrebbe essere difesa,1
madri divine,0
affogare spose,1
sorelle dovrebbero essere soppresse,1
moglie brillante,0
stimare moglie,0
detestare signora,1
mogli ripugnanti,1
preservare sorelle,0
signore generose,0
figlia orrida,1
stimare sorella,0
soffocare signorina,1
mogli dovrebbero essere soppresse,1
figlia non dovrebbe essere detestata,0
figlia repellente,1
figlia dovrebbe essere detestata,1
sorella fenomenale,0
spose superbe,0
sorella dovrebbe essere elogiata,0
sorelle detestabili,1
moglie dovrebbe essere elogiata,0
sorelle perfette,0
signore non dovrebbero essere accudite,1
zie non dovrebbero essere accudite,1
ragazza repellente,1
sorella terribile,1
signorina perfetta,0
madri non dovrebbero essere strangolate,0
spose nauseanti,1
sorelle dovrebbero essere torturate,1
madre brillante,0
adorare zia,0
madre non dovrebbe essere stimata,1
ragazze non dovrebbero essere supportate,1
figlie dovrebbero essere apprezzate,0
sorella superlativa,0
signorine dovrebbero essere omaggiate,0
zia non dovrebbe essere omaggiata,1
rispettare ragazza,0
sorelle inferiori,1
mogli repellenti,1
lei dovrebbe essere soppressa,1
sposa non dovrebbe essere distrutta,0
sorelle non dovrebbero essere abbracciate,1
sposa superba,0
sterminare madre,1
lei fastidiosa,1
lei ripugnante,1
ragazze sublimi,0
zia dovrebbe essere supportata,0
mogli inferiori,1
sorella non dovrebbe essere strozzata,0
strangolare madre,1
rispettare figlia,0
curare figlie,0
signore perfette,0
accudire signorina,0
ragazze fenomenali,0
signorina non dovrebbe essere uccisa,0
sorelle orribili,1
uccidere sposa,1
sposa non dovrebbe essere accudita,1
signore idiote,1
ragazza non dovrebbe essere strangolata,0
ammirare signore,0
odiare mogli,1
signore non dovrebbero essere distrutte,0
spose dovrebbero essere stimate,0
ragazze orride,1
signorine dovrebbero essere curate,0
madre magnifica,0
ragazze splendide,0
madre dovrebbe essere difesa,0
picchiare signorine,1
signorine sceme,1
detestare mogli,1
moglie fantastica,0
signore non dovrebbero essere detestate,0
lei spregevole,1
rispettare zia,0
figlia dovrebbe essere strangolata,1
moglie dovrebbe essere curata,0
spose generose,0
ragazze superbe,0
signorina dovrebbe essere massacrata,1
spose repellenti,1
figlia non dovrebbe essere curata,1
ragazza dovrebbe essere torturata,1
signorine stupide,1
figlie non dovrebbero essere rispettate,1
amare signora,0
zie nauseanti,1
mogli fenomenali,0
curare zie,0
madre non dovrebbe essere accudita,1
figlie fenomenali,0
signora dovrebbe essere difesa,0
zia malvagia,1
zia dovrebbe essere distrutta,1
spose non dovrebbero essere soppresse,0
curare signora,0
sorella non dovrebbe essere distrutta,0
signorine non dovrebbero essere amate,1
ragazza dovrebbe essere stimata,0
amare madre,0
mogli dovrebbero essere distrutte,1
sorella repellente,1
moglie non dovrebbe essere ammirata,1
apprezzare signorina,0
moglie perfetta,0
signorine dovrebbero essere rispettate,0
affogare madri,1
strangolare sorelle,1
figlie magnifiche,0
proteggere spose,0
abbracciare ragazza,0
mogli non dovrebbero essere rispettate,1
accudire ragazza,0
moglie fastidiosa,1
ragazze dovrebbero essere rispettate,0
uccidere signorine,1
lei orrida,1
madri terribili,1
madri superiori,0
sorella generosa,0
figlie generose,0
zie non dovrebbero essere omaggiate,1
signorina eccezionale,0
madre ripugnante,1
adorare zie,0
madri sgradite,1
mogli dovrebbero essere abbracciate,0
madre eccellente,0
preservare sorella,0
moglie dovrebbe essere apprezzata,0
uccidere figlia,1
picchiare ragazza,1
zie dovrebbero essere soffocate,1
mogli eccellenti,0
madre non dovrebbe essere elogiata,1
signora ammirevole,0
moglie fenomenale,0
madri sgradevoli,1
ragazza nauseante,1
ragazza ripugnante,1
sorella detestabile,1
ragazze non dovrebbero essere distrutte,0
signorine sgradite,1
stimare madri,0
sposa scema,1
sposa non dovrebbe essere torturata,0
zie ripugnanti,1
sorelle non dovrebbero essere stimate,1
zie divine,0
moglie ammirevole,0
sorella eccezionale,0
figlia detestabile,1
signorina dovrebbe essere elogiata,0
sorelle malvagie,1
sorelle non dovrebbero essere ammirate,1
mogli irritanti,1
sorella sublime,0
torturare signore,1
signora dovrebbe essere amata,0
madre idiota,1
signora fastidiosa,1
figlie dovrebbero essere detestate,1
zia stupida,1
figlie non dovrebbero essere massacrate,0
madri fastidiose,1
moglie non dovrebbe essere amata,1
lei dovrebbe essere elogiata,0
lei dovrebbe essere stimata,0
madri non dovrebbero essere massacrate,0
figlia idiota,1
ragazza terribile,1
sorelle non dovrebbero essere amate,1
signorine superiori,0
sorelle non dovrebbero essere accudite,1
signorina fastidiosa,1
zia orrida,1
sorella nauseante,1
signorina magnifica,0
spose non dovrebbero essere massacrate,0
mogli perfette,0
madri superlative,0
signora superiore,0
zie eccellenti,0
sorelle dovrebbero essere strozzate,1
moglie dovrebbe essere ammirata,0
sposa non dovrebbe essere curata,1
sorelle nauseanti,1
sposa dovrebbe essere strangolata,1
sposa dovrebbe essere ammirata,0
zia dovrebbe essere omaggiata,0
signora non dovrebbe essere soppressa,0
zie non dovrebbero essere uccise,0
zie stupide,1
ragazze non dovrebbero essere rispettate,1
moglie dovrebbe essere torturata,1
ragazza non dovrebbe essere strozzata,0
signorina dovrebbe essere odiata,1
madri non dovrebbero essere accudite,1
sposa eccezionale,0
mogli dovrebbero essere strangolate,1
zie superiori,0
madre sgradita,1
ragazza dovrebbe essere strangolata,1
ragazze idiote,1
massacrare moglie,1
sorella non dovrebbe essere amata,1
sposa dovrebbe essere assassinata,1
zie non dovrebbero essere strangolate,0
madri dovrebbero essere massacrate,1
mogli dovrebbero essere difese,0
madre sublime,0
zie terribili,1
signora stupida,1
spose dovrebbero essere elogiate,0
ragazza meravigliosa,0
zia non dovrebbe essere uccisa,0
accudire signora,0
adorare sorelle,0
sorelle dovrebbero essere soffocate,1
signore dovrebbero essere accudite,0
proteggere mogli,0
signore dovrebbero essere massacrate,1
sorelle irritanti,1
spose non dovrebbero essere apprezzate,1
sorella non dovrebbe essere stimata,1
mogli sceme,1
moglie dovrebbe essere accudita,0
ragazze perfette,0
madre dovrebbe essere amata,0
madri orride,1
lei non dovrebbe essere amata,1
figlia divina,0
ragazze dovrebbero essere soppresse,1
sposa dovrebbe essere difesa,0
massacrare sposa,1
zie dovrebbero essere amate,0
ragazze fastidiose,1
madre ammirevole,0
curare mogli,0
madre dovrebbe essere massacrata,1
madre non dovrebbe essere strozzata,0
ragazza non dovrebbe essere odiata,0
figlia non dovrebbe essere apprezzata,1
signorine dovrebbero essere assassinate,1
accudire zia,0
piacere lei,0
figlia non dovrebbe essere distrutta,0
affogare zia,1
sposa non dovrebbe essere ammirata,1
ammirare zia,0
sposa fastidiosa,1
signore orride,1
rispettare madri,0
strangolare madri,1
apprezzare spose,0
sorella splendida,0
adorare spose,0
figlia dovrebbe essere curata,0
sorella sgradevole,1
zie non dovrebbero essere supportate,1
lei non dovrebbe essere uccisa,0
signorina nauseante,1
moglie dovrebbe essere difesa,0
zie non dovrebbero essere amate,1
sorelle non dovrebbero essere assassinate,0
moglie dovrebbe essere strangolata,1
zie superbe,0
figlie superlative,0
colpire lei,1
spose fastidiose,1
odiare lei,1
ragazze non dovrebbero essere curate,1
ragazza non dovrebbe essere torturata,0
madre dovrebbe essere odiata,1
rispettare mogli,0
curare signorina,0
signore dovrebbero essere distrutte,1
preservare signora,0
spose dovrebbero essere assassinate,1
madre non dovrebbe essere torturata,0
signorine dovrebbero essere abbracciate,0
sterminare spose,1
madri repellenti,1
figlie dovrebbero essere assassinate,1
ragazze terribili,1
colpire figlie,1
figlie orribili,1
sposa non dovrebbe essere stimata,1
figlie non dovrebbero essere strozzate,0
ragazze nauseanti,1
signora idiota,1
ammirare sorelle,0
sorelle fenomenali,0
zie dovrebbero essere difese,0
figlie ammirevoli,0
soffocare ragazze,1
signora non dovrebbe essere difesa,1
accudire figlia,0
adorare figlia,0
ragazza splendida,0
ragazze dovrebbero essere eliminate,1
proteggere sorelle,0
zie dovrebbero essere uccise,1
signorina repellente,1
sorelle sgradevoli,1
signore spregevoli,1
sposa non dovrebbe essere detestata,0
sorella dovrebbe essere detestata,1
ragazza sgradita,1
sorella non dovrebbe essere omaggiata,1
sorella non dovrebbe essere apprezzata,1
ragazza fastidiosa,1
ragazze eccellenti,0
ragazza fenomenale,0
signora non dovrebbe essere odiata,0
accudire moglie,0
soffocare lei,1
signorine dovrebbero essere distrutte,1
lei dovrebbe essere strangolata,1
lei idiota,1
signora nauseante,1
spose eccezionali,0
figlia inferiore,1
massacrare figlia,1
sorelle non dovrebbero essere distrutte,0
spose dovrebbero essere ammirate,0
sorella dovrebbe essere odiata,1
zia sgradevole,1
signorine dovrebbero essere torturate,1
uccidere figlie,1
odiare madre,1
torturare madri,1
ragazza dovrebbe essere amata,0
adorare madri,0
madri non dovrebbero essere detestate,0
adorare signora,0
madri dovrebbero essere amate,0
detestare zia,1
moglie dovrebbe essere supportata,0
spose idiote,1
sposa malvagia,1
zie non dovrebbero essere abbracciate,1
sorella ripugnante,1
ragazze dovrebbero essere elogiate,0
zie non dovrebbero essere distrutte,0
madre superba,0
ragazze eccezionali,0
sposa dovrebbe essere massacrata,1
signorine superlative,0
sorella dovrebbe essere abbracciata,0
madre non dovrebbe essere ammirata,1
curare sorella,0
signore repellenti,1
moglie non dovrebbe essere elogiata,1
zie dovrebbero essere strozzate,1
signorina detestabile,1
sorella brillante,0
lei dovrebbe essere uccisa,1
lei non dovrebbe essere soffocata,0
figlia dovrebbe essere uccisa,1
ragazza favolosa,0
mogli dovrebbero essere curate,0
mogli dovrebbero essere strozzate,1
odiare madri,1
detestare figlia,1
signorine non dovrebbero essere soppresse,0
zia dovrebbe essere strozzata,1
ragazze non dovrebbero essere stimate,1
affogare zie,1
madre non dovrebbe essere rispettata,1
signore non dovrebbero essere elogiate,1
adorare figlie,0
zie dovrebbero essere omaggiate,0
lei sgradevole,1
sposa sgradita,1
picchiare mogli,1
signorine dovrebbero essere detestate,1
signorine non dovrebbero essere odiate,0
sposa fantastica,0
piacere zia,0
sposa fenomenale,0
signore dovrebbero essere rispettate,0
signorina non dovrebbe essere distrutta,0
figlia sgradita,1
torturare signorina,1
signora detestabile,1
sterminare zie,1
spose non dovrebbero essere abbracciate,1
zia dovrebbe essere massacrata,1
abbracciare figlia,0
moglie divina,0
figlia non dovrebbe essere odiata,0
zie sceme,1
moglie non dovrebbe essere strozzata,0
sposa non dovrebbe essere soffocata,0
ragazze non dovrebbero essere massacrate,0
mogli dovrebbero essere stimate,0
moglie terribile,1
signorina non dovrebbe essere massacrata,0
fidanzata cretina,1
supportare morosa,0
morose benevole,0
compagna non dovrebbe essere appoggiata,1
appoggiare matrone,0
matrone amabili,0
umiliare fidanzata,1
compagna dovrebbe essere picchiata,1
donna dovrebbe essere sostenuta,0
mamma non dovrebbe essere ammazzata,0
mamma abominevole,1
fidanzata non dovrebbe essere preservata,1
nonne non dovrebbero essere sostenute,1
lodare casalinga,0
omaggiare donne,0
fidanzate belle,0
mamme non dovrebbero essere picchiate,0
femmine dovrebbero essere martoriate,1
aiutare morose,0
matrona ributtante,1
seviziare morose,1
fidanzate dovrebbero essere adorate,0
nonne non dovrebbero essere ammazzate,0
donne non dovrebbero essere ammazzate,0
elogiare mamma,0
matrone dovrebbero essere adorate,0
onorare nonna,0
nonna gradevole,0
casalinghe odiose,1
femmine non dovrebbero essere malmenate,0
nonne dovrebbero essere seviziate,1
fidanzate dovrebbero essere sostenute,0
mamma amichevole,0
casalinga grandiosa,0
pestare femmine,1
donne non dovrebbero essere tormentate,0
nonna rivoltante,1
fidanzate non dovrebbero essere malmenate,0
femmina dovrebbe essere sostenuta,0
donne riprovevoli,1
morosa dovrebbe essere protetta,0
supportare nonne,0
omaggiare femmine,0
matrona dovrebbe essere tutelata,0
mamma gradevole,0
morose cattive,1
appoggiare nonne,0
femmina odiosa,1
eliminare nonna,1
mamma sporca,1
casalinghe non dovrebbero essere maltrattate,0
femmina non dovrebbe essere seviziata,0
compagna cattiva,1
ammazzare casalinghe,1
violentare matrone,1
nonne non dovrebbero essere tutelate,1
fidanzate vomitevoli,1
tutelare compagne,0
compagne dovrebbero essere onorate,0
matrona affascinante,0
casalinghe merde,1
compagna non dovrebbe essere malmenata,0
femmine dovrebbero essere protette,0
femmine straordinarie,0
molestare nonne,1
femmine non dovrebbero essere ammazzate,0
femmine gentili,0
matrona odiosa,1
mamme dovrebbero essere malmenate,1
morosa odiosa,1
matrona piacevole,0
femmine non dovrebbero essere violentate,0
fidanzate amichevoli,0
umiliare casalinga,1
fidanzata non dovrebbe essere picchiata,0
mamma cicciona,1
compagne sporche,1
femmina non dovrebbe essere coccolata,1
schifare casalinga,1
mamma dovrebbe essere adorata,0
compagne vomitevoli,1
compagne dovrebbero essere tormentate,1
nonna sporca,1
matrone sorprendenti,0
casalinga dovrebbe essere appoggiata,0
compagna encomiabile,0
supportare donne,0
fidanzata simpatica,0
donna affascinante,0
femmina dovrebbe essere malmenata,1
donna ributtante,1
favorire fidanzate,0
nonne encomiabili,0
fidanzate non dovrebbero essere sterminate,0
