text,sexist
massacrare signorina,1
spose splendide,0
madri dovrebbero essere soppresse,1
detestabili,1
sterminare ragazza,1
preservare signore,0
distruggere,1
signore sgradite,1
dovrebbero essere uccise,0
zia dovrebbe essere accudita,1
zie idiote,1
sposa ammirevole,0
madri inferiori,1
signore dovrebbero essere uccise,1
dovrebbe essere apprezzata,1
adorare mogli,0
ammirare,0
sposa repellente,1
soffocare zie,1
signore nauseanti,1
picchiare signorina,1
fantastica,0
sposa dovrebbe essere omaggiata,0
odiare zie,1
irritante,1
sorelle fantastiche,0
massacrare,1
soffocare,1
malvagia,1
sposa meravigliosa,0
ammirare figlie,0
figlie dovrebbero essere torturate,1
figlie dovrebbero essere detestate,0
signore fantastiche,0
uccidere zia,1
figlia orribile,1
dovrebbe essere eliminata,0
dovrebbe essere strangolata,0
dovrebbero essere supportate,1
torturare ragazza,1
signore superiori,0
sposa dovrebbe essere curata,0
nauseante,1
figlia dovrebbe essere soffocata,0
dovrebbero essere soffocate,1
signore dovrebbero essere difese,1
ragazze dovrebbero essere soppresse,0
superlativa,0
splendide,0
curare ragazze,0
figlie stupide,1
madri dovrebbero essere assassinate,0
zie sgradevoli,1
sterminare,1
dovrebbe essere curata,0
mogli dovrebbero essere uccise,0
figlie dovrebbero essere supportate,0
colpire ragazza,1
mogli dovrebbero essere amate,0
sorelle dovrebbero essere uccise,0
stimare,0
amare,0
dovrebbe essere torturata,0
amare spose,0
terribili,1
dovrebbe essere soffocata,0
spose detestabili,1
sposa sgradevole,1
magnifica,0
ragazza superba,0
uccidere,1
ammirare ragazze,0
figlie dovrebbero essere odiate,1
odiare,1
dovrebbero essere accudite,0
adorare signore,0
sorelle dovrebbero essere stimate,0
figlia dovrebbe essere amata,1
madri spregevoli,1
spose dovrebbero essere curate,1
zia dovrebbe essere strangolata,1
figlie dovrebbero essere uccise,0
zie malvagie,1
figlie dovrebbero essere curate,1
dovrebbe essere supportata,1
dovrebbe essere eliminata,1
madri dovrebbero essere distrutte,1
figlie superiori,0
signore dovrebbero essere curate,0
ragazze dovrebbero essere assassinate,1
dovrebbe essere assassinata,1
mogli dovrebbero essere omaggiate,1
zie dovrebbero essere detestate,1
ragazza orribile,1
figlia sgradevole,1
dovrebbe essere soppressa,0
dovrebbe essere difesa,1
amare,0
signorina dovrebbe essere rispettata,0
idiota,1
piacere zie,0
dovrebbe essere rispettata,1
spose dovrebbero essere strozzate,1
madri dovrebbero essere strozzate,1
zia dovrebbe essere strozzata,0
dovrebbe essere supportata,1
perfetta,0
signorina irritante,1
perfetta,0
sorelle dovrebbero essere strozzate,0
signorina stupida,1
fenomenale,0
sorelle dovrebbero essere curate,1
ammirevoli,0
figlie spregevoli,1
spose dovrebbero essere amate,1
dovrebbero essere ammirate,0
distruggere,1
figlie dovrebbero essere stimate,1
zie dovrebbero essere supportate,0
ragazze favolose,0
signorina dovrebbe essere difesa,0
zia eccezionale,0
strangolare signorina,1
piacere,0
dovrebbe essere odiata,0
figlia dovrebbe essere ammirata,1
meravigliosa,0
figlie dovrebbero essere rispettate,0
signore dovrebbero essere abbracciate,1
dovrebbe essere odiata,1
mogli sgradite,1
picchiare sorelle,1
adorare ragazze,0
dovrebbe essere curata,1
spose dovrebbero essere accudite,0
ragazze dovrebbero essere amate,0
ragazze fantastiche,0
figlia dovrebbe essere distrutta,1
sgradita,1
malvagia,1
ragazza malvagia,1
dovrebbe essere curata,0
proteggere ragazza,0
dovrebbe essere eliminata,0
soffocare sposa,1
figlie dovrebbero essere soppresse,1
massacrare zia,1
signore eccezionali,0
mogli dovrebbero essere apprezzate,1
signore dovrebbero essere difese,0
sorelle dovrebbero essere strangolate,0
ragazze ammirevoli,0
dovrebbe essere detestata,0
zie dovrebbero essere elogiate,1
signorina idiota,1
sublimi,0
dovrebbe essere distrutta,1
sterminare sorelle,1
madri dovrebbero essere amate,1
detestare sposa,1
signore dovrebbero essere apprezzate,1
dovrebbero essere soffocate,0
spose terribili,1
ragazza dovrebbe essere ammirata,1
adorare,0
ragazza detestabile,1
madri dovrebbero essere ammirate,1
sorelle dovrebbero essere apprezzate,1
mogli fastidiose,1
zia dovrebbe essere amata,1
ragazza dovrebbe essere assassinata,1
dovrebbe essere apprezzata,1
dovrebbe essere soppressa,0
zia dovrebbe essere odiata,0
zia dovrebbe essere difesa,0
mogli dovrebbero essere uccise,1
dovrebbe essere ammirata,0
ammirare,0
madri dovrebbero essere odiate,1
sorelle meravigliose,0
zie meravigliose,0
zie dovrebbero essere curate,1
irritante,1
madri idiote,1
sorelle ammirevoli,0
figlia dovrebbe essere supportata,1
mogli dovrebbero essere ammirate,1
ragazza dovrebbe essere eliminata,0
sterminare sposa,1
zia divina,0
dovrebbe essere strangolata,1
figlie dovrebbero essere elogiate,1
figlie dovrebbero essere supportate,1
spose dovrebbero essere abbracciate,0
ragazza dovrebbe essere difesa,1
figlia dovrebbe essere strangolata,0
sorelle dovrebbero essere soppresse,0
zia repellente,1
orrida,1
dovrebbero essere stimate,0
sposa perfetta,0
madri dovrebbero essere supportate,0
madri dovrebbero essere soffocate,1
figlie dovrebbero essere eliminate,1
ammirare spose,0
detestare,1
distruggere,1
signorina favolosa,0
stimare,0
proteggere ragazze,0
proteggere,0
zia dovrebbe essere massacrata,0
ragazze inferiori,1
madri brillanti,0
orribile,1
mogli ammirevoli,0
figlia dovrebbe essere rispettata,0
colpire figlia,1
madri dovrebbero essere odiate,0
signore dovrebbero essere stimate,0
zia brillante,0
figlie brillanti,0
affogare ragazze,1
soffocare,1
inferiore,1
signorina dovrebbe essere abbracciata,0
fastidiose,1
sgradevole,1
dovrebbe essere apprezzata,1
ragazza perfetta,0
madri dovrebbero essere uccise,1
apprezzare figlia,0
zia dovrebbe essere rispettata,1
zia dovrebbe essere odiata,1
sposa dovrebbe essere elogiata,0
signore dovrebbero essere strangolate,1
irritanti,1
splendida,0
ragazze dovrebbero essere torturate,1
apprezzare figlie,0
dovrebbe essere uccisa,0
figlie dovrebbero essere ammirate,0
sposa orrida,1
dovrebbe essere curata,0
picchiare,1
apprezzare,0
madri favolose,0
dovrebbe essere ammirata,1
ragazza dovrebbe essere curata,0
mogli superiori,0
torturare,1
madri dovrebbero essere stimate,0
fastidiosa,1
mogli superlative,0
mogli dovrebbero essere eliminate,1
dovrebbe essere uccisa,1
figlie dovrebbero essere strangolate,0
signore dovrebbero essere soppresse,0
odiare figlia,1
proteggere madri,0
affogare sorelle,1
ragazza dovrebbe essere massacrata,0
madri dovrebbero essere elogiate,1
ragazze stupide,1
dovrebbe essere accudita,0
superlativa,0
figlie fantastiche,0
dovrebbe essere apprezzata,0
madri dovrebbero essere difese,0
rispettare,0
spose dovrebbero essere rispettate,0
ragazza brillante,0
odiare sorelle,1
sterminare signore,1
figlie divine,0
zia dovrebbe essere distrutta,0
dovrebbe essere assassinata,1
spose dovrebbero essere strangolate,0
sposa dovrebbe essere rispettata,1
dovrebbero essere odiate,1
ragazze sceme,1
signore dovrebbero essere soppresse,1
spose dovrebbero essere supportate,1
mogli dovrebbero essere elogiate,1
mogli magnifiche,0
sorelle eccellenti,0
dovrebbe essere soppressa,1
detestare ragazza,1
abbracciare sorelle,0
figlie dovrebbero essere soppresse,0
mogli dovrebbero essere strangolate,0
superiore,0
picchiare figlie,1
preservare ragazze,0
figlia dovrebbe essere soppressa,1
preservare signorina,0
sorelle dovrebbero essere difese,0
dovrebbero essere elogiate,1
superba,0
sposa dovrebbe essere elogiata,1
eccellenti,0
massacrare,1
sposa dovrebbe essere amata,1
dovrebbe essere soffocata,0
dovrebbe essere odiata,0
splendida,0
mogli dovrebbero essere odiate,0
zie dovrebbero essere odiate,1
signore detestabili,1
signorina dovrebbe essere amata,1
inferiore,1
rispettare,0
dovrebbe essere distrutta,0
figlie inferiori,1
sorelle brillanti,0
spose dovrebbero essere eliminate,1
zia dovrebbe essere curata,0
zie dovrebbero essere distrutte,1
signore dovrebbero essere amate,1
ragazze dovrebbero essere assassinate,0
sposa superiore,0
zie dovrebbero essere odiate,0
ragazza dovrebbe essere distrutta,1
sposa dovrebbe essere distrutta,1
dovrebbe essere detestata,0
signorina dovrebbe essere strozzata,0
sorelle dovrebbero essere eliminate,1
dovrebbe essere torturata,1
dovrebbe essere ammirata,0
signorina spregevole,1
signore ripugnanti,1
figlia superba,0
dovrebbe essere massacrata,0
spose dovrebbero essere massacrate,1
picchiare,1
madri dovrebbero essere torturate,1
fantastica,0
dovrebbe essere detestata,0
ragazze dovrebbero essere abbracciate,0
picchiare,1
dovrebbe essere stimata,0
madri sublimi,0
dovrebbe essere difesa,0
amare madri,0
soffocare figlie,1
dovrebbe essere rispettata,0
figlia dovrebbe essere difesa,1
figlie dovrebbero essere accudite,0
signore dovrebbero essere abbracciate,0
affogare,1
zia inferiore,1
zie detestabili,1
dovrebbe essere rispettata,1
dovrebbero essere amate,0
dovrebbero essere soppresse,1
signore dovrebbero essere rispettate,1
sorelle generose,0
uccidere,1
signorina dovrebbe essere rispettata,1
figlie irritanti,1
detestare signore,1
ragazza ammirevole,0
spose sceme,1
stimare signore,0
signorina dovrebbe essere accudita,1
dovrebbe essere eliminata,0
ragazze dovrebbero essere ammirate,0
signore irritanti,1
distruggere figlie,1
sorelle dovrebbero essere eliminate,0
figlia fenomenale,0
torturare figlie,1
amare,0
dovrebbe essere torturata,0
signore dovrebbero essere omaggiate,1
dovrebbe essere massacrata,1
strangolare zia,1
figlia ammirevole,0
ragazze dovrebbero essere uccise,1
ragazze dovrebbero essere apprezzate,0
zia fastidiosa,1
dovrebbe essere assassinata,0
figlie dovrebbero essere abbracciate,1
figlia dovrebbe essere soffocata,1
dovrebbe essere difesa,1
dovrebbe essere apprezzata,0
proteggere,0
dovrebbe essere distrutta,1
torturare sorelle,1
odiare,1
dovrebbe essere amata,0
soffocare,1
sorelle dovrebbero essere abbracciate,0
mogli idiote,1
figlie dovrebbero essere difese,0
signore sceme,1
curare signore,0
zia dovrebbe essere stimata,1
dovrebbe essere eliminata,1
signore dovrebbero essere soffocate,1
madri magnifiche,0
ragazza dovrebbe essere uccisa,0
madri dovrebbero essere difese,1
uccidere signore,1
ragazza stupida,1
signorina dovrebbe essere assassinata,0
spose dovrebbero essere strangolate,1
ragazze detestabili,1
ragazza dovrebbe essere eliminata,1
rispettare,0
dovrebbe essere omaggiata,1
mogli dovrebbero essere omaggiate,0
mogli dovrebbero essere strozzate,0
dovrebbe essere omaggiata,0
dovrebbe essere omaggiata,0
ragazza eccellente,0
dovrebbe essere soppressa,1
madri perfette,0
odiare signorina,1
abbracciare signorina,0
spose dovrebbero essere soffocate,0
figlie dovrebbero essere distrutte,0
spose superlative,0
figlia dovrebbe essere elogiata,1
dovrebbe essere stimata,1
divine,0
apprezzare zia,0
sposa dovrebbe essere assassinata,0
dovrebbe essere stimata,1
magnifiche,0
signorina fantastica,0
ragazza dovrebbe essere accudita,0
curare zia,0
colpire spose,1
dovrebbe essere strangolata,1
figlie fastidiose,1
zie repellenti,1
signorina generosa,0
sublime,0
dovrebbe essere detestata,1
sorelle superbe,0
dovrebbe essere detestata,0
figlia dovrebbe essere torturata,1
rispettare signorina,0
spose dovrebbero essere rispettate,1
madri dovrebbero essere rispettate,1
odiare,1
stupida,1
dovrebbe essere strangolata,0
spose meravigliose,0
signorina dovrebbe essere uccisa,1
zia superba,0
dovrebbe essere supportata,0
sorelle ripugnanti,1
sposa dovrebbe essere difesa,1
sposa eccellente,0
sposa orribile,1
dovrebbe essere difesa,1
madri divine,0
affogare spose,1
sorelle dovrebbero essere soppresse,1
brillante,0
stimare,0
detestare,1
mogli ripugnanti,1
preservare sorelle,0
signore generose,0
figlia orrida,1
stimare,0
soffocare signorina,1
mogli dovrebbero essere soppresse,1
figlia dovrebbe essere detestata,0
figlia repellente,1
figlia dovrebbe essere detestata,1
fenomenale,0
spose superbe,0
dovrebbe essere elogiata,0
sorelle detestabili,1
dovrebbe essere elogiata,0
sorelle perfette,0
signore dovrebbero essere accudite,1
zie dovrebbero essere accudite,1
ragazza repellente,1
terribile,1
signorina perfetta,0
madri dovrebbero essere strangolate,0
spose nauseanti,1
sorelle dovrebbero essere torturate,1
brillante,0
adorare zia,0
dovrebbe essere stimata,1
ragazze dovrebbero essere supportate,1
figlie dovrebbero essere apprezzate,0
superlativa,0
dovrebbero essere omaggiate,0
zia dovrebbe essere omaggiata,1
rispettare ragazza,0
sorelle inferiori,1
mogli repellenti,1
dovrebbe essere soppressa,1
sposa dovrebbe essere distrutta,0
sorelle dovrebbero essere abbracciate,1
sposa superba,0
sterminare,1
fastidiosa,1
ripugnante,1
ragazze sublimi,0
zia dovrebbe essere supportata,0
mogli inferiori,1
dovrebbe essere strozzata,0
strangolare,1
rispettare figlia,0
curare figlie,0
signore perfette,0
accudire signorina,0
ragazze fenomenali,0
signorina dovrebbe essere uccisa,0
sorelle orribili,1
uccidere sposa,1
sposa dovrebbe essere accudita,1
signore idiote,1
ragazza dovrebbe essere strangolata,0
ammirare signore,0
odiare mogli,1
signore dovrebbero essere distrutte,0
spose dovrebbero essere stimate,0
ragazze orride,1
dovrebbero essere curate,0
magnifica,0
ragazze splendide,0
dovrebbe essere difesa,0
picchiare,1
sceme,1
detestare mogli,1
fantastica,0
signore dovrebbero essere detestate,0
spregevole,1
rispettare zia,0
figlia dovrebbe essere strangolata,1
dovrebbe essere curata,0
spose generose,0
ragazze superbe,0
signorina dovrebbe essere massacrata,1
spose repellenti,1
figlia dovrebbe essere curata,1
ragazza dovrebbe essere torturata,1
stupide,1
figlie dovrebbero essere rispettate,1
amare,0
zie nauseanti,1
mogli fenomenali,0
curare zie,0
dovrebbe essere accudita,1
figlie fenomenali,0
dovrebbe essere difesa,0
zia malvagia,1
zia dovrebbe essere distrutta,1
spose dovrebbero essere soppresse,0
curare,0
dovrebbe essere distrutta,0
dovrebbero essere amate,1
ragazza dovrebbe essere stimata,0
amare,0
mogli dovrebbero essere distrutte,1
repellente,1
dovrebbe essere ammirata,1
apprezzare signorina,0
perfetta,0
dovrebbero essere rispettate,0
affogare madri,1
strangolare sorelle,1
figlie magnifiche,0
proteggere spose,0
abbracciare ragazza,0
mogli dovrebbero essere rispettate,1
accudire ragazza,0
fastidiosa,1
ragazze dovrebbero essere rispettate,0
uccidere,1
orrida,1
madri terribili,1
madri superiori,0
generosa,0
figlie generose,0
zie dovrebbero essere omaggiate,1
signorina eccezionale,0
ripugnante,1
adorare zie,0
madri sgradite,1
mogli dovrebbero essere abbracciate,0
eccellente,0
preservare,0
dovrebbe essere apprezzata,0
uccidere figlia,1
picchiare ragazza,1
zie dovrebbero essere soffocate,1
mogli eccellenti,0
dovrebbe essere elogiata,1
ammirevole,0
fenomenale,0
madri sgradevoli,1
ragazza nauseante,1
ragazza ripugnante,1
detestabile,1
ragazze dovrebbero essere distrutte,0
sgradite,1
stimare madri,0
sposa scema,1
sposa dovrebbe essere torturata,0
zie ripugnanti,1
sorelle dovrebbero essere stimate,1
zie divine,0
ammirevole,0
eccezionale,0
figlia detestabile,1
signorina dovrebbe essere elogiata,0
sorelle malvagie,1
sorelle dovrebbero essere ammirate,1
mogli irritanti,1
sublime,0
torturare signore,1
dovrebbe essere amata,0
idiota,1
fastidiosa,1
figlie dovrebbero essere detestate,1
zia stupida,1
figlie dovrebbero essere massacrate,0
madri fastidiose,1
dovrebbe essere amata,1
dovrebbe essere elogiata,0
dovrebbe essere stimata,0
madri dovrebbero essere massacrate,0
figlia idiota,1
ragazza terribile,1
sorelle dovrebbero essere amate,1
superiori,0
sorelle dovrebbero essere accudite,1
signorina fastidiosa,1
zia orrida,1
nauseante,1
signorina magnifica,0
spose dovrebbero essere massacrate,0
mogli perfette,0
madri superlative,0
superiore,0
zie eccellenti,0
sorelle dovrebbero essere strozzate,1
dovrebbe essere ammirata,0
sposa dovrebbe essere curata,1
sorelle nauseanti,1
sposa dovrebbe essere strangolata,1
sposa dovrebbe essere ammirata,0
zia dovrebbe essere omaggiata,0
dovrebbe essere soppressa,0
zie dovrebbero essere uccise,0
zie stupide,1
ragazze dovrebbero essere rispettate,1
dovrebbe essere torturata,1
ragazza dovrebbe essere strozzata,0
signorina dovrebbe essere odiata,1
madri dovrebbero essere accudite,1
sposa eccezionale,0
mogli dovrebbero essere strangolate,1
zie superiori,0
sgradita,1
ragazza dovrebbe essere strangolata,1
ragazze idiote,1
massacrare,1
dovrebbe essere amata,1
sposa dovrebbe essere assassinata,1
zie dovrebbero essere strangolate,0
madri dovrebbero essere massacrate,1
mogli dovrebbero essere difese,0
sublime,0
zie terribili,1
stupida,1
spose dovrebbero essere elogiate,0
ragazza meravigliosa,0
zia dovrebbe essere uccisa,0
accudire,0
adorare sorelle,0
sorelle dovrebbero essere soffocate,1
signore dovrebbero essere accudite,0
proteggere mogli,0
signore dovrebbero essere massacrate,1
sorelle irritanti,1
spose dovrebbero essere apprezzate,1
dovrebbe essere stimata,1
mogli sceme,1
dovrebbe essere accudita,0
ragazze perfette,0
dovrebbe essere amata,0
madri orride,1
dovrebbe essere amata,1
figlia divina,0
ragazze dovrebbero essere soppresse,1
sposa dovrebbe essere difesa,0
massacrare sposa,1
zie dovrebbero essere amate,0
ragazze fastidiose,1
ammirevole,0
curare mogli,0
dovrebbe essere massacrata,1
dovrebbe essere strozzata,0
ragazza dovrebbe essere odiata,0
figlia dovrebbe essere apprezzata,1
dovrebbero essere assassinate,1
accudire zia,0
piacere,0
figlia dovrebbe essere distrutta,0
affogare zia,1
sposa dovrebbe essere ammirata,1
ammirare zia,0
sposa fastidiosa,1
signore orride,1
rispettare madri,0
strangolare madri,1
apprezzare spose,0
splendida,0
adorare spose,0
figlia dovrebbe essere curata,0
sgradevole,1
zie dovrebbero essere supportate,1
dovrebbe essere uccisa,0
signorina nauseante,1
dovrebbe essere difesa,0
zie dovrebbero essere amate,1
sorelle dovrebbero essere assassinate,0
dovrebbe essere strangolata,1
zie superbe,0
figlie superlative,0
colpire,1
spose fastidiose,1
odiare,1
ragazze dovrebbero essere curate,1
ragazza dovrebbe essere torturata,0
dovrebbe essere odiata,1
rispettare mogli,0
curare signorina,0
signore dovrebbero essere distrutte,1
preservare,0
spose dovrebbero essere assassinate,1
dovrebbe essere torturata,0
dovrebbero essere abbracciate,0
sterminare spose,1
madri repellenti,1
figlie dovrebbero essere assassinate,1
ragazze terribili,1
colpire figlie,1
figlie orribili,1
sposa dovrebbe essere stimata,1
figlie dovrebbero essere strozzate,0
ragazze nauseanti,1
idiota,1
ammirare sorelle,0
sorelle fenomenali,0
zie dovrebbero essere difese,0
figlie ammirevoli,0
soffocare ragazze,1
dovrebbe essere difesa,1
accudire figlia,0
adorare figlia,0
ragazza splendida,0
ragazze dovrebbero essere eliminate,1
proteggere sorelle,0
zie dovrebbero essere uccise,1
signorina repellente,1
sorelle sgradevoli,1
signore spregevoli,1
sposa dovrebbe essere detestata,0
dovrebbe essere detestata,1
ragazza sgradita,1
dovrebbe essere omaggiata,1
dovrebbe essere apprezzata,1
ragazza fastidiosa,1
ragazze eccellenti,0
ragazza fenomenale,0
dovrebbe essere odiata,0
accudire,0
soffocare,1
dovrebbero essere distrutte,1
dovrebbe essere strangolata,1
idiota,1
nauseante,1
spose eccezionali,0
figlia inferiore,1
massacrare figlia,1
sorelle dovrebbero essere distrutte,0
spose dovrebbero essere ammirate,0
dovrebbe essere odiata,1
zia sgradevole,1
dovrebbero essere torturate,1
uccidere figlie,1
odiare,1
torturare madri,1
ragazza dovrebbe essere amata,0
adorare madri,0
madri dovrebbero essere detestate,0
adorare,0
madri dovrebbero essere amate,0
detestare zia,1
dovrebbe essere supportata,0
spose idiote,1
sposa malvagia,1
zie dovrebbero essere abbracciate,1
ripugnante,1
ragazze dovrebbero essere elogiate,0
zie dovrebbero essere distrutte,0
superba,0
ragazze eccezionali,0
sposa dovrebbe essere massacrata,1
superlative,0
dovrebbe essere abbracciata,0
dovrebbe essere ammirata,1
curare,0
signore repellenti,1
dovrebbe essere elogiata,1
zie dovrebbero essere strozzate,1
signorina detestabile,1
brillante,0
dovrebbe essere uccisa,1
dovrebbe essere soffocata,0
figlia dovrebbe essere uccisa,1
ragazza favolosa,0
mogli dovrebbero essere curate,0
mogli dovrebbero essere strozzate,1
odiare madri,1
detestare figlia,1
dovrebbero essere soppresse,0
zia dovrebbe essere strozzata,1
ragazze dovrebbero essere stimate,1
affogare zie,1
dovrebbe essere rispettata,1
signore dovrebbero essere elogiate,1
adorare figlie,0
zie dovrebbero essere omaggiate,0
sgradevole,1
sposa sgradita,1
picchiare mogli,1
dovrebbero essere detestate,1
dovrebbero essere odiate,0
sposa fantastica,0
piacere zia,0
sposa fenomenale,0
signore dovrebbero essere rispettate,0
signorina dovrebbe essere distrutta,0
figlia sgradita,1
torturare signorina,1
detestabile,1
sterminare zie,1
spose dovrebbero essere abbracciate,1
zia dovrebbe essere massacrata,1
abbracciare figlia,0
divina,0
figlia dovrebbe essere odiata,0
zie sceme,1
dovrebbe essere strozzata,0
sposa dovrebbe essere soffocata,0
ragazze dovrebbero essere massacrate,0
mogli dovrebbero essere stimate,0
terribile,1
signorina dovrebbe essere massacrata,0
fidanzata cretina,1
supportare morosa,0
morose benevole,0
compagna dovrebbe essere appoggiata,1
appoggiare matrone,0
matrone amabili,0
umiliare fidanzata,1
compagna dovrebbe essere picchiata,1
donna dovrebbe essere sostenuta,0
mamma dovrebbe essere ammazzata,0
mamma abominevole,1
fidanzata dovrebbe essere preservata,1
nonne dovrebbero essere sostenute,1
lodare casalinga,0
omaggiare donne,0
fidanzate belle,0
mamme dovrebbero essere picchiate,0
femmine dovrebbero essere martoriate,1
aiutare morose,0
matrona ributtante,1
seviziare morose,1
fidanzate dovrebbero essere adorate,0
nonne dovrebbero essere ammazzate,0
donne dovrebbero essere ammazzate,0
elogiare mamma,0
matrone dovrebbero essere adorate,0
onorare nonna,0
nonna gradevole,0
casalinghe odiose,1
femmine dovrebbero essere malmenate,0
nonne dovrebbero essere seviziate,1
fidanzate dovrebbero essere sostenute,0
mamma amichevole,0
casalinga grandiosa,0
pestare femmine,1
donne dovrebbero essere tormentate,0
nonna rivoltante,1
fidanzate dovrebbero essere malmenate,0
femmina dovrebbe essere sostenuta,0
donne riprovevoli,1
morosa dovrebbe essere protetta,0
supportare nonne,0
omaggiare femmine,0
matrona dovrebbe essere tutelata,0
mamma gradevole,0
morose cattive,1
appoggiare nonne,0
femmina odiosa,1
eliminare nonna,1
mamma sporca,1
casalinghe dovrebbero essere maltrattate,0
femmina dovrebbe essere seviziata,0
compagna cattiva,1
ammazzare casalinghe,1
violentare matrone,1
nonne dovrebbero essere tutelate,1
fidanzate vomitevoli,1
tutelare compagne,0
compagne dovrebbero essere onorate,0
matrona affascinante,0
casalinghe merde,1
compagna dovrebbe essere malmenata,0
femmine dovrebbero essere protette,0
femmine straordinarie,0
molestare nonne,1
femmine dovrebbero essere ammazzate,0
femmine gentili,0
matrona odiosa,1
mamme dovrebbero essere malmenate,1
morosa odiosa,1
matrona piacevole,0
femmine dovrebbero essere violentate,0
fidanzate amichevoli,0
umiliare casalinga,1
fidanzata dovrebbe essere picchiata,0
mamma cicciona,1
compagne sporche,1
femmina dovrebbe essere coccolata,1
schifare casalinga,1
mamma dovrebbe essere adorata,0
compagne vomitevoli,1
compagne dovrebbero essere tormentate,1
nonna sporca,1
matrone sorprendenti,0
casalinga dovrebbe essere appoggiata,0
compagna encomiabile,0
supportare donne,0
fidanzata simpatica,0
donna affascinante,0
femmina dovrebbe essere malmenata,1
donna ributtante,1
favorire fidanzate,0
nonne encomiabili,0
fidanzate dovrebbero essere sterminate,0
matrona dovrebbe essere molestata,1
nonna dovrebbe essere seviziata,1
compagna dovrebbe essere coccolata,1
femmina dovrebbe essere molestata,0
casalinghe riprovevoli,1
casalinghe dovrebbero essere martoriate,1
eliminare donne,1
morosa cattiva,1
compagne stolte,1
favorire fidanzata,0
donna dovrebbe essere lodata,1
femmina dovrebbe essere appoggiata,0
difendere morosa,0
femmina stolta,1
nonne cretine,1
nonne dovrebbero essere tutelate,0
supportare matrona,0
molestare fidanzate,1
compagne stimabili,0
nonna gentile,0
morose belle,0
fidanzate dovrebbero essere tormentate,1
lodare mamme,0
elogiare compagne,0
matrona dovrebbe essere protetta,0
compagne dovrebbero essere sostenute,1
donne dovrebbero essere sostenute,0
matrone brutte,1
compagne gradevoli,0
compagna piacevole,0
matrona brutta,1
donna dovrebbe essere preservata,0
nonna dovrebbe essere umiliata,0
casalinghe dovrebbero essere appoggiate,1
mamme dovrebbero essere appoggiate,0
morose dovrebbero essere picchiate,1
mamma dovrebbe essere celebrata,0
casalinga disgustosa,1
donna dovrebbe essere martoriata,1
donne dovrebbero essere lodate,1
schifare fidanzate,1
nonna dovrebbe essere maltrattata,0
fidanzate encomiabili,0
femmina dovrebbe essere sterminata,1
fidanzata dovrebbe essere tormentata,1
ammazzare morose,1
nonne brutte,1
fidanzata grandiosa,0
mamma dovrebbe essere appoggiata,1
maltrattare mamme,1
morose disgustose,1
mamme dovrebbero essere martoriate,0
donna dovrebbe essere tormentata,0
donne abominevoli,1
donna gradevole,0
fidanzata dovrebbe essere picchiata,1
matrone dovrebbero essere tormentate,0
compagna disgustosa,1
fidanzata stolta,1
compagne dovrebbero essere maltrattate,1
ammazzare mamma,1
martoriare nonne,1
umiliare nonna,1
elogiare mamme,0
molestare femmine,1
fidanzata elegante,0
morose dovrebbero essere umiliate,1
elogiare femmine,0
donne deficienti,1
femmina dovrebbe essere protetta,1
sostenere compagna,0
compagna odiosa,1
morose dovrebbero essere schifate,0
morose encomiabili,0
nonna odiosa,1
casalinghe sorprendenti,0
fidanzate dovrebbero essere favorite,0
matrona dovrebbe essere onorata,0
appoggiare mamme,0
donna benevola,0
fidanzata dovrebbe essere tormentata,0
mamma dovrebbe essere onorata,0
nonna merda,1
supportare fidanzata,0
casalinga stimabile,0
nonne dovrebbero essere adorate,0
fidanzata dovrebbe essere martoriata,1
nonna dovrebbe essere preservata,1
mamma rivoltante,1
femmina dovrebbe essere tutelata,0
femmine dovrebbero essere sterminate,1
matrone eleganti,0
appoggiare femmine,0
matrona simpatica,0
coccolare casalinga,0
nonne cattive,1
casalinghe dovrebbero essere malmenate,0
casalinga deficiente,1
femmina dovrebbe essere picchiata,1
matrone dovrebbero essere coccolate,0
matrona stolta,1
casalinga dovrebbe essere martoriata,0
schifare mamma,1
matrona dovrebbe essere tutelata,1
appoggiare mamma,0
seviziare nonne,1
difendere fidanzata,0
mamma elegante,0
tutelare matrona,0
fidanzata gentile,0
nonne dovrebbero essere picchiate,1
donna sorprendente,0
mamma odiosa,1
malmenare femmina,1
nonna dovrebbe essere lodata,1
pestare fidanzate,1
matrona sporca,1
matrone dovrebbero essere aiutate,0
compagna dovrebbe essere seviziata,0
casalinga affascinante,0
compagna riprovevole,1
maltrattare compagne,1
schifare compagne,1
onorare nonne,0
tormentare mamme,1
omaggiare morose,0
nonne pessime,1
onorare matrone,0
nonne gentili,0
femmine gradevoli,0
tormentare compagne,1
molestare matrone,1
donna stimabile,0
violentare donna,1
seviziare mamma,1
mamme dovrebbero essere umiliate,1
lodare fidanzate,0
casalinga dovrebbe essere maltrattata,0
femmine abominevoli,1
eliminare matrone,1
violentare matrona,1
morose dovrebbero essere martoriate,0
compagna gradevole,0
elogiare morosa,0
umiliare donna,1
tutelare nonna,0
morosa dovrebbe essere tutelata,1
donna dovrebbe essere aiutata,0
fidanzate eleganti,0
donne pessime,1
donna dovrebbe essere appoggiata,0
mamma dovrebbe essere schifata,1
fidanzate dovrebbero essere aiutate,1
matrone grandiose,0
nonna dovrebbe essere picchiata,0
compagna dovrebbe essere martoriata,1
mamme dovrebbero essere aiutate,1
malmenare nonna,1
